HGNC_ID	Approved_symbol	Approved_name	RefSeq_IDs	UniProt_ID	Ensembl_ID
HGNC:5	A1BG	alpha-1-B glycoprotein	NM_130786	P04217	ENSG00000121410
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	NR_015380		ENSG00000268895
HGNC:24086	A1CF	APOBEC1 complementation factor	NM_014576	Q9NQ94	ENSG00000148584
HGNC:7	A2M	alpha-2-macroglobulin	NM_000014	P01023	ENSG00000175899
HGNC:27057	A2M-AS1	A2M antisense RNA 1	NR_026971		ENSG00000245105
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	NM_144670	A8K2U0	ENSG00000166535
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1			ENSG00000256661
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2			ENSG00000256904
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	NG_001067		ENSG00000256069
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	NM_001080438	U3KPV4	ENSG00000184389
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	NM_017436	Q9NPC4	ENSG00000128274
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	NM_016161	Q9UNA3	ENSG00000118017
HGNC:13666	AAAS	aladin WD repeat nucleoporin		Q9NRG9	ENSG00000094914
HGNC:21298	AACS	acetoacetyl-CoA synthetase	NM_023928	Q86V21	ENSG00000081760
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	NR_024035		ENSG00000250420
HGNC:17	AADAC	arylacetamide deacetylase	NM_001086	P22760	ENSG00000114771
HGNC:24427	AADACL2	arylacetamide deacetylase like 2	NM_207365	Q6P093	ENSG00000197953
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1			ENSG00000242908
HGNC:32037	AADACL3	arylacetamide deacetylase like 3	NM_001103170	Q5VUY0	ENSG00000188984
HGNC:32038	AADACL4	arylacetamide deacetylase like 4	NM_001013630	Q5VUY2	ENSG00000204518
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1			ENSG00000240602
HGNC:17929	AADAT	aminoadipate aminotransferase	NM_016228	Q8N5Z0	ENSG00000109576
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	NM_024666	Q6PD74	ENSG00000103591
HGNC:19679	AAK1	AP2 associated kinase 1	NM_014911	Q2M2I8	ENSG00000115977
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	NM_024684	Q9H7C9	ENSG00000087884
HGNC:18	AAMP	angio associated migratory cell protein	NM_001087	Q13685	ENSG00000127837
HGNC:19	AANAT	aralkylamine N-acetyltransferase	NM_001088	Q16613	ENSG00000129673
HGNC:15886	AAR2	AAR2 splicing factor	NM_015511	Q9Y312	ENSG00000131043
HGNC:33842	AARD	alanine and arginine rich domain containing protein	NM_001025357	Q4LEZ3	ENSG00000205002
HGNC:20	AARS1	alanyl-tRNA synthetase 1	NM_001605	P49588	ENSG00000090861
HGNC:49894	AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1			ENSG00000249038
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	NM_020745	Q5JTZ9	ENSG00000124608
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	NM_001261434	Q9BTE6	ENSG00000266967
HGNC:54994	AARSD1P1	AARSD1 pseudogene 1			
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	NM_181806	Q4L235	ENSG00000157426
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	NM_015423	Q9NRN7	ENSG00000149313
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	NM_005763	Q9UDR5	ENSG00000008311
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer	NR_026961		ENSG00000215458
HGNC:19235	AATF	apoptosis antagonizing transcription factor	NM_012138	Q9NY61	ENSG00000275700
HGNC:21	AATK	apoptosis associated tyrosine kinase	NM_004920	Q6ZMQ8	ENSG00000181409
HGNC:22	AAVS1	adeno-associated virus integration site 1			
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	NR_131907		ENSG00000281376
HGNC:23	ABAT	4-aminobutyrate aminotransferase	NM_020686	P80404	ENSG00000183044
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	NM_005502	O95477	ENSG00000165029
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	NM_001606	Q9BZC7	ENSG00000107331
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	NM_001089	Q99758	ENSG00000167972
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	NM_000350	P78363	ENSG00000198691
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	NM_018672	Q8WWZ7	ENSG00000154265
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	NM_080284	Q8N139	ENSG00000154262
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	NM_019112	Q8IZY2	ENSG00000064687
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	NM_007168	O94911	ENSG00000141338
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	NM_172386	Q8IUA7	ENSG00000154258
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1			ENSG00000231749
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	NM_080282	Q8WWZ4	ENSG00000154263
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	NR_002451.2	Q4W5N1	ENSG00000251595
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	NM_173076	Q86UK0	ENSG00000144452
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13	NM_152701	Q86UQ4	ENSG00000179869
HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	NR_003574		ENSG00000238098
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	NM_000927	P08183	ENSG00000085563
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	NM_000443	P21439	ENSG00000005471
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	NM_178559	Q2M3G0	ENSG00000004846
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	NM_005689	Q9NP58	ENSG00000115657
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	NM_004299	O75027	ENSG00000131269
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	NM_007188	Q9NUT2	ENSG00000197150
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	NM_019624	Q9NP78	ENSG00000150967
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	NM_012089	Q9NRK6	ENSG00000135776
